období,obvod,typ dat,kategorie,přestupek,počet,částka
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,stání v křižovatce,87,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,stání ve druhé řadě,5,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,jízda na červenou,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,přestupky chodců,19,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,přestupky cyklistů,4,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Ostatní přestupky,proti majetku,3,
2024-01-01,OŘ7,Počty zjištěných přestupků,Ostatní přestupky,Tabákový zákon,31,
2024-01-01,OŘ7,Počty zjištěných přestupků,Ostatní přestupky,Psi neoznačení čipem,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Ostatní přestupky,Tržní řád,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Ostatní přestupky,Přestupky řidičů TAXI,9,
2024-01-01,OŘ7,Počty zjištěných přestupků,Ostatní přestupky,Přestupky parkoviště invalidů,29,
2024-01-01,OŘ7,Počet uložených pokut,Veřejný pořádek a zeleň,,28,
2024-01-01,OŘ7,Počet uložených pokut,Doprava,,550,
2024-01-01,OŘ7,Počet uložených pokut,Ostatní přestupky,,7,
2024-01-01,OŘ7,Počet uložených pokut,BP v hotovosti,,442,
2024-01-01,OŘ7,Počet uložených pokut,BP na místě nezaplacené,,143,
2024-01-01,OŘ7,Další formy řešení přestupků,Oznámení přestupku,Z toho VP a zeleň,6,
2024-01-01,OŘ7,Další formy řešení přestupků,Domluva,Z toho VP a zeleň,203,
2024-01-01,OŘ7,Další formy řešení přestupků,Vydané VOPP,,687,
2024-01-01,OŘ7,Další formy řešení přestupků,Vyrozumění OPSP,,1933,
2024-01-01,OŘ8,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,11,
2024-01-01,OŘ8,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,3,
2024-01-01,OŘ8,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,27,
2024-01-01,OŘ8,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,103,
2024-01-01,OŘ8,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,37,
2024-01-01,OŘ8,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,0,
2024-01-01,OŘ8,Počty zjištěných přestupků,Doprava,zákaz vjezdu,324,
2024-01-01,OŘ8,Počty zjištěných přestupků,Doprava,zákaz zastavení,609,
2024-01-01,OŘ8,Počty zjištěných přestupků,Doprava,zákaz stání,187,
2024-01-01,OŘ8,Počty zjištěných přestupků,Doprava,pěší zóna,112,
2024-01-01,OŘ8,Počty zjištěných přestupků,Doprava,stání na chodníku,539,
